Station,Group,Taxa,Region,Start Collection Year,End Collection Year,Total Years of Collection,Mean CPUE,Occurences,Latitude,Longitude
865,Fish,"Alosa sapidissima, Dorosoma petenense",Delta,1995,2020,25,"78.23, 45.09","76, 74",38.08666667,-121.5763333
NZ028,Zooplankton,"Acartiella, Limnoithona, Pseudodiaptomus",Suisun Bay,1995,2021,27,"297.99, 167.69, 948.75","255, 266, 283",38.11722222,-122.0472222
NZ032,Zooplankton,"Acartiella, Eurytemora, Limnoithona, Pseudodiaptomus",Suisun Bay,1995,2021,27,"507.73, 894.03, 199.39, 1164.19","236, 249, 262, 292",38.17027778,-122.0208333
NZ048,Zooplankton,"Acartiella, Limnoithona, Pseudodiaptomus",Suisun Bay,1995,2021,27,"427.18, 400.88, 501.34","239, 278, 280",38.06,-121.9958333
NZ054,Zooplankton,"Limnoithona, Pseudodiaptomus",Confluence,1995,2021,27,"1088.78, 833.34","261, 280",38.04583333,-121.9063889
NZ060,Zooplankton,"Limnoithona, Pseudodiaptomus",Confluence,1995,2021,27,"523.99, 1159.26","236, 300",38.06444444,-121.8288889
NZ064,Zooplankton,"Pseudodiaptomus, Sinocalanus",Delta,1995,2021,27,"1364.76, 373.55","284, 247",38.08472222,-121.7380556
NZ074,Zooplankton,Pseudodiaptomus,Confluence,1995,2021,27,1842.4,291,38.02222222,-121.8036111
NZ086,Zooplankton,"Bosmina, Pseudodiaptomus, Sinocalanus",Delta,1995,2021,27,"193.96, 3875.97, 163.92","306, 309, 263",38.07777778,-121.5702778
NZ092,Zooplankton,"Bosmina, Daphnia, Eurytemora, Pseudodiaptomus",Delta,1995,2021,27,"2960.21, 993.19, 1208.39, 5728.68","308, 293, 260, 290",37.97833333,-121.3819444
NZD06,Zooplankton,"Acartia, Oithona, Pseudodiaptomus, Tortanus",Suisun Bay,1995,2021,27,"1089.47, 670.43, 282.4, 180.29","277, 273, 294, 259",38.04444444,-122.1166667
NZD16,Zooplankton,"Bosmina, Pseudodiaptomus, Sinocalanus",Delta,1995,2021,27,"146.92, 3302.99, 264.95","301, 309, 268",38.09722222,-121.6666667
NZD28,Zooplankton,"Bosmina, Daphnia, Eurytemora, Pseudodiaptomus, Sinocalanus",Delta,1995,2021,27,"118.35, 115.97, 343.76, 3404.42, 166.17","298, 244, 302, 274",37.98277778,-121.5772222
NZD41,Zooplankton,"Acartia, Oithona, Pseudodiaptomus",San Pablo Bay,1998,2021,24,"3328.01, 2020.39, 610.67","275, 269, 257",38.03555556,-122.3708333
NZM10,Zooplankton,"Bosmina, Eurytemora, Pseudodiaptomus",Delta,1995,2021,27,"1672.33, 2246.24, 9379.88","305, 279, 311",38.04361111,-121.4263889
NZS42,Zooplankton,"Eurytemora, Limnoithona, Pseudodiaptomus",Suisun Bay,1995,2021,27,"1411.95, 107.88, 974.50","269, 255, 293",38.18055556,-122.0472222
